datetime,channel,campaign,impressions,total_spend,broadcaster,centre,trees,oceans,genre,description,author_notes,tags,likes,dislikes
2025-12-10T10:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-10T11:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-10T12:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-10T13:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-10T14:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-10T15:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-10T16:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-10T17:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-10T18:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-10T19:00:00,TV,Commercial Brand,50000,500,350.0,100.0,30.0,20.0,,,,,,
2025-12-10T19:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-10T20:00:00,TV,Commercial Brand,50000,500,350.0,100.0,30.0,20.0,,,,,,
2025-12-10T20:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-10T21:00:00,TV,Commercial Brand,50000,500,350.0,100.0,30.0,20.0,,,,,,
2025-12-10T21:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T07:00:00,Radio,Eco Tree Project,20000,120,78.0,30.0,9.6,2.4,Ambient,"Slow tempo, static motion piece for background use",Designed to anchor calm presence in civic broadcasts,"impact, music",2,0
2025-12-11T08:00:00,Radio,Eco Tree Project,20000,120,78.0,30.0,9.6,2.4,Ambient,"Slow tempo, static motion piece for background use",Designed to anchor calm presence in civic broadcasts,"impact, music",2,0
2025-12-11T08:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T09:00:00,Radio,Commercial Brand,20000,120,84.0,24.0,7.2,4.8,,,,,,
2025-12-11T09:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T10:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T11:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T12:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T13:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T14:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T15:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T16:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T17:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T18:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T19:00:00,TV,Eco Tree Project,50000,500,325.0,125.0,40.0,10.0,Ambient,"Slow tempo, static motion piece for background use",Designed to anchor calm presence in civic broadcasts,"impact, music",2,0
2025-12-11T19:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T20:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-11T21:00:00,Online,Commercial Brand,5000,60,42.0,12.0,3.6,2.4,,,,,,
2025-12-12T07:00:00,Radio,Eco Tree Project,20000,120,78.0,30.0,9.6,2.4,Ambient,"Slow tempo, static motion piece for background use",Designed to anchor calm presence in civic broadcasts,"impact, music",2,0
2025-12-12T08:00:00,Radio,Eco Tree Project,20000,120,78.0,30.0,9.6,2.4,Ambient,"Slow tempo, static motion piece for background use",Designed to anchor calm presence in civic broadcasts,"impact, music",2,0
2025-12-12T08:00:00,Online,Eco Tree Project,5000,60,39.0,15.0,4.8,1.2,Ambient,"Slow tempo, static motion piece for background use",Designed to anchor calm presence in civic broadcasts,"impact, music",2,0
2025-12-13T07:00:00,Radio,Eco Tree Project,20000,120,78.0,30.0,9.6,2.4,Ambient,"Slow tempo, static motion piece for background use",Designed to anchor calm presence in civic broadcasts,"impact, music",2,0
2025-12-13T08:00:00,Radio,Eco Tree Project,20000,120,78.0,30.0,9.6,2.4,Ambient,"Slow tempo, static motion piece for background use",Designed to anchor calm presence in civic broadcasts,"impact, music",2,0
2025-12-13T08:00:00,Online,Eco Tree Project,5000,60,39.0,15.0,4.8,1.2,Ambient,"Slow tempo, static motion piece for background use",Designed to anchor calm presence in civic broadcasts,"impact, music",2,0
